CHIAVE|COD_DITTA|COD_ART|DES_ART|COD_FAM|DES_FAM|COD_SFAM|DES_SFAM|COD_GRUPPO1|DES_GRUPPO1|COD_GRUPPO2|DES_GRUPPO2|UM1|UM2|FATTORE_CONVERSIONE|DES_GR_STAT1|DES_GR_STAT2|QTA_MIN_VEND|COD_CLASSE_SCONTO|COD_DEPERIBILITA|PREZZO_MIN_VEN|SCONTO_MAX_VEN|MAX_EXTRA_SCONTO|FLG_LOCK_UM_DEFAULT|DES_FILTRO1|DES_FILTRO2|DES_FILTRO3|DAT_ULT_MOD
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3ABA1|1|3ABA1|YOGURT INT. BIANCO GR.125X20 [s.o.]|3A|YOGURT|BA|YOGURT BAYERNLAND|||||CT|CT|0,000000000|Articoli in uso||0,000|||5,451|24||0||YOGURT|YOGURT BAYERNLAND|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS0565|1|3AS0565|YOGURT YOMO INT. AGRUMI DI SICILIA GR125x2 (ct da 6 cf) [S.O.]|3A|YOGURT|ST|YOGURT|||||CF|CF|0,000000000|Articoli in uso||0,000|||0,82915|24||0||YOGURT|YOGURT|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS0569|1|3AS0569|YOGURT YOMO INT. CAFFE' GR125x2 (ct da 6 cf) [S.O.]|3A|YOGURT|ST|YOGURT|||||CF|CF|0,000000000|Articoli in uso||0,000|||0,82915|24||0||YOGURT|YOGURT|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS131|1|3AS131|YOGURT GRECO KG.1 [s.o]|3A|YOGURT|ST|YOGURT|||||CF|CF|0,000000000|Articoli in uso||0,000|||5,1175|24||0||YOGURT|YOGURT|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS2001|1|3AS2001|YOGURT YOMO INT. BIANCO naturale GR.125x2 (ct da 6 cf) [S.O.]|3A|YOGURT|ST|YOGURT|||||CF|CF|0,000000000|Articoli in uso||0,000|||0,80615|24||0||YOGURT|YOGURT|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS2101|1|3AS2101|YOGURT YOMO INT.ALBICOCCA GR.125x2 (ct da 6 CF) [S.O.]|3A|YOGURT|ST|YOGURT|||||CF|CF|0,000000000|Articoli in uso||0,000|||0,82915|24||0||YOGURT|YOGURT|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS2161|1|3AS2161|YOGURT YOMO INT.CILIEGIA GR.125x2 (ct da 6 cf) [S.O.]|3A|YOGURT|ST|YOGURT|||||CF|CF|0,000000000|Articoli in uso||0,000|||0,506|24||0||YOGURT|YOGURT|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS2211|1|3AS2211|YOGURT YOMO INT. FRAGOLA GR.125x2 (ct da 6 cf) [S.O.]|3A|YOGURT|ST|YOGURT|||||CF|CF|0,000000000|Articoli in uso||0,000|||0,82915|24||0||YOGURT|YOGURT|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS2321|1|3AS2321|YOGURT YOMO INT. BANANA GR125x2 (ct da 6 cf) [S.O.]|3A|YOGURT|ST|YOGURT|||||CF|CF|0,000000000|Articoli in uso||0,000|||0,82915|24||0||YOGURT|YOGURT|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS235|1|3AS235|YOGURT STERILGARDA BANANA GR.500x6  [S.o.]|3A|YOGURT|ST|YOGURT|||||CT|CT|0,000000000|Articoli in uso||0,000|||5,1175|24||0||YOGURT|YOGURT|01011900000000
