CHIAVE|COD_ART|COD_DITTA|COD_CONF|PZ_CONF|FLG_PREF|DAT_ULT_MOD
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3ABA1#CD|3ABA1|1|CD|1,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS0565#CD|3AS0565|1|CD|6,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS0569#CD|3AS0569|1|CD|6,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS131#CD|3AS131|1|CD|1,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS2001#CD|3AS2001|1|CD|6,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS2101#CD|3AS2101|1|CD|6,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS2161#CD|3AS2161|1|CD|6,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS2211#CD|3AS2211|1|CD|6,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS2321#CD|3AS2321|1|CD|6,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS235#CD|3AS235|1|CD|1,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS236#CD|3AS236|1|CD|1,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS237#CD|3AS237|1|CD|1,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS238#CD|3AS238|1|CD|6,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS239#CD|3AS239|1|CD|1,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS240#CD|3AS240|1|CD|1,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS3530#CD|3AS3530|1|CD|1,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS3531#CD|3AS3531|1|CD|1,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#4AC025FD#CD|4AC025FD|1|CD|6,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#4AC0261#CD|4AC0261|1|CD|6,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A1FD3#CD|A1FD3|1|CD|6,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A2D1576#CD|A2D1576|1|CD|24,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A2D1577#CD|A2D1577|1|CD|12,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A2D1582#CD|A2D1582|1|CD|24,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A2D24#CD|A2D24|1|CD|12,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A2D38#CD|A2D38|1|CD|6,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A2D44#CD|A2D44|1|CD|4,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A2D7726#CD|A2D7726|1|CD|10,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A2U1#CD|A2U1|1|CD|6,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A3CAF10#CD|A3CAF10|1|CD|1,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A3CAF2#CD|A3CAF2|1|CD|1,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A3CAF20#CD|A3CAF20|1|CD|1,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A3CAF28#CD|A3CAF28|1|CD|1,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A3CAF36#CD|A3CAF36|1|CD|24,000|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A3CAF40#CD|A3CAF40|1|CD|1,000|1|01011900000000
