CHIAVE|COD_DITTA|COD_ART|PROG|VALUTA|PRZ|DATA_DOC|NUM_DOC|COD_CLFOR|TIPO_DOC|DAT_ULT_MOD
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#3#S98PRSCA|1|S98PRSCA|201500020271|EURO|5,000000|17032015|712|3|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#3#S98PSCA|1|S98PSCA|201500020271|EURO|2,818181|17032015|712|3|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#392#H3W01|1|H3W01|201900122817|EURO|1,619191|02072019|2943|392|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#392#H8ZUC|1|H8ZUC|201700177549|EURO|0,541414|25092017|3567|392|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#3999#I1UOQE|1|I1UOQE|202000099963|EURO|1,828282|06072020|2421|3999|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#5003#G4DA9107|1|G4DA9107|200700045629|EURO|7,474775|09082007|1985|5003|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#5004#S5OND1260|1|S5OND1260|200900049171|EURO|1,024242|30072009|1839|5004|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#5004#S8PEVE107|1|S8PEVE107|200900066326|EURO|7,486868|13102009|2466|5004|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#5004#S96ACF0114|1|S96ACF0114|200900033820|EURO|1,135353|29052009|1300|5004|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#5004#S96ACF0115|1|S96ACF0115|200900033820|EURO|2,128282|29052009|1300|5004|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#5004#S96ACF0830|1|S96ACF0830|200900049171|EURO|17,749494|30072009|1839|5004|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#5004#S96ACP0113|1|S96ACP0113|200900057608|EURO|14,336489|07092009|2146|5004|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#5005#DISPENSERBAR|1|DISPENSERBAR|201700048002|EURO|60,303030|06042017|1061|5005|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#5005#DISPENSERKET|1|DISPENSERKET|201700102896|EURO|60,303030|23062017|2164|5005|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#5005#DISPENSERMAIO|1|DISPENSERMAIO|201700102896|EURO|60,303030|23062017|2164|5005|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#5005#H31GA10702|1|H31GA10702|202000077786|EURO|4,060606|03062020|1900|5005|1|01011900000000
