CHIAVE|COD_DITTA|COD_ART|PROG|VALUTA|PRZ|DATA_DOC|NUM_DOC|COD_CLFOR|DAT_ULT_MOD
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#1#3AS131|1|3AS131|200800074653|EURO|0,343000|31122008|4319|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#1#A6B039|1|A6B039|200900015854|EURO|2,091000|31032009|640|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#1#B1S021|1|B1S021|200800063557|EURO|0,969000|31102008|3603|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#1#B3TS4|1|B3TS4|200900004057|EURO|2,200000|31012009|4|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#1#B3VP51|1|B3VP51|200800074653|EURO|13,685000|31122008|4319|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#1#B3VP53|1|B3VP53|200800074653|EURO|6,660000|31122008|4319|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#1#B4FRIZ|1|B4FRIZ|200800074653|EURO|0,195500|31122008|4319|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#1#C1VD1234|1|C1VD1234|200800068587|EURO|12,537500|30112008|3993|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#1#C1VD1253|1|C1VD1253|200800074653|EURO|13,634000|31122008|4319|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#1#C1VD1315|1|C1VD1315|200900004057|EURO|13,030500|31012009|4|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#1#C2PC43591|1|C2PC43591|200900000146|EURO|10,900000|05012009|10|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#1#C3DEL304|1|C3DEL304|200500038273|EURO|7,463000|30112005|4041|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#1#C5CRO|1|C5CRO|200800050204|EURO|1,997500|31082008|2807|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#1#D2N8909|1|D2N8909|200800074653|EURO|29,707500|31122008|4319|1|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#1#D9N6900|1|D9N6900|200700021603|EURO|20,315000|30042007|1182|1|01011900000000
