CHIAVE|COD_DITTA|CODICE|DESCRIZIONE|CAP|PROVINCIA|DAT_ULT_MOD
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A001|1|A001|ABANO TERME|35031|PD|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A047|1|A047|ACQUAVIVA PICENA|63030|AP|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A092|1|A092|AGUGLIANO|60020|AN|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A135|1|A135|ALBAREDO PER SAN MARCO|23010|SO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A187|1|A187|ALFEDENA|67030|AQ|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A229|1|A229|ALTAVILLA MILICIA|90010|PA|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A271|1|A271|ANCONA|60100|AN|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A315|1|A315|ANTRODOCO|02013|RI|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A363|1|A363|ARCE|03032|FR|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A409|1|A409|ARIZZANO|28050|VB|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A458|1|A458|ARZERGRANDE|35020|PD|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A499|1|A499|AURIGO|18021|IM|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A544|1|A544|BAGALADI|89060|RC|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A591|1|A591|BALDISSERO TORINESE|10020|TO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A643|1|A643|BARD|11020|AO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A694|1|A694|BASELGA DI PINE'|38042|TN|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A737|1|A737|BELFIORE|37050|VR|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A781|1|A781|BENETUTTI|07010|SS|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A827|1|A827|BESSUDE|07040|SS|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A882|1|A882|BISACQUINO|90032|PA|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A941|1|A941|BOLLENGO|10012|TO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#A986|1|A986|BORDOLANO|26020|CR|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#B031|1|B031|BORGORICCO|35010|PD|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#B082|1|B082|BOSNASCO|27049|PV|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#B136|1|B136|BREIA|13020|VC|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#B185|1|B185|BRIONE|38083|TN|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#B236|1|B236|BUBBIO|14051|AT|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#B285|1|B285|BUSCA|12022|CN|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#B352|1|B352|CAGLI|61043|PS|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#B396|1|B396|CALCO|22050|LC|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#B443|1|B443|CALVERA|85030|PZ|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#B492|1|B492|CAMPAGNA|84022|SA|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#B535|1|B535|CAMPOFIORITO|90030|PA|01011900000000
