CHIAVE|COD_DITTA|TIPO_CLIFOR|COD_CLIFOR|COD_BLOCCO|TIPO_BLOCCO|NOTA_BLOCCO|DATA_BLOCCO|DAT_ULT_MOD
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#22#2|1|0|22|2|Non sbloccabile||01012013|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#124#2|1|0|124|2|Non sbloccabile|||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#135#2|1|0|135|2|Non sbloccabile||03032015|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#157#2|1|0|157|2|Non sbloccabile|||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#231#2|1|0|231|2|Non sbloccabile|||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#261#2|1|0|261|2|Non sbloccabile|||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#273#2|1|0|273|2|Non sbloccabile|||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#286#2|1|0|286|2|Non sbloccabile|||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#316#2|1|0|316|2|Non sbloccabile|LUGLIO||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#370#2|1|0|370|2|Non sbloccabile|||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#434#2|1|0|434|2|Non sbloccabile|DIC+MARZO+APRILE||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#449#2|1|0|449|2|Non sbloccabile|||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#455#2|1|0|455|2|Non sbloccabile||01092017|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#494#2|1|0|494|2|Non sbloccabile||31052013|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#500#2|1|0|500|2|Non sbloccabile||04012019|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#504#2|1|0|504|2|Non sbloccabile|||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#538#2|1|0|538|2|Non sbloccabile|||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#557#2|1|0|557|2|Non sbloccabile|||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#584#2|1|0|584|2|Non sbloccabile|||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#606#2|1|0|606|2|Non sbloccabile|||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#622#2|1|0|622|2|Non sbloccabile||02122015|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#649#2|1|0|649|2|Non sbloccabile||02052018|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#758#2|1|0|758|2|Non sbloccabile|||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#776#2|1|0|776|2|Non sbloccabile|||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#835#2|1|0|835|2|Non sbloccabile|||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#838#2|1|0|838|2|Non sbloccabile|insoluto|04052021|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#848#2|1|0|848|2|Non sbloccabile|||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#875#2|1|0|875|2|Non sbloccabile|||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#882#2|1|0|882|2|Non sbloccabile||05012016|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#909#2|1|0|909|2|Non sbloccabile|||01011900000000
