CHIAVE|COD_DITTA|TIPO_CLIFOR|COD_CLIFOR|ANNO|MESE|COD_VALUTA|FATTURATO|DAT_ULT_MOD
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2019#1|1|0|5|2019|1|EURO|271,95|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2019#2|1|0|5|2019|2|EURO|1422,43|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2019#3|1|0|5|2019|3|EURO|827,19|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2019#4|1|0|5|2019|4|EURO|1622,79|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2019#5|1|0|5|2019|5|EURO|1008,81|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2019#6|1|0|5|2019|6|EURO|845,49|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2019#7|1|0|5|2019|7|EURO|1302,22|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2019#8|1|0|5|2019|8|EURO|438,89|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2019#9|1|0|5|2019|9|EURO|435,99|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2019#10|1|0|5|2019|10|EURO|1926,64|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2019#11|1|0|5|2019|11|EURO|1817,43|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2019#12|1|0|5|2019|12|EURO|1428,19|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2020#1|1|0|5|2020|1|EURO|707,00|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2020#2|1|0|5|2020|2|EURO|281,67|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2020#3|1|0|5|2020|3|EURO|42,37|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2020#5|1|0|5|2020|5|EURO|577,69|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2020#6|1|0|5|2020|6|EURO|1369,06|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2020#7|1|0|5|2020|7|EURO|981,46|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2020#8|1|0|5|2020|8|EURO|583,66|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2020#9|1|0|5|2020|9|EURO|1430,99|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2020#10|1|0|5|2020|10|EURO|1152,31|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2020#11|1|0|5|2020|11|EURO|204,26|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2020#12|1|0|5|2020|12|EURO|229,05|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2021#1|1|0|5|2021|1|EURO|409,13|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2021#2|1|0|5|2021|2|EURO|71,78|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2021#3|1|0|5|2021|3|EURO|52,89|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#5#2021#4|1|0|5|2021|4|EURO|538,32|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#10#2021#4|1|0|10|2021|4|EURO|75,38|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#20#2019#1|1|0|20|2019|1|EURO|1144,08|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#20#2019#2|1|0|20|2019|2|EURO|1187,97|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#20#2019#3|1|0|20|2019|3|EURO|1353,73|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#20#2019#4|1|0|20|2019|4|EURO|1287,56|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#20#2019#5|1|0|20|2019|5|EURO|1243,46|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#20#2019#6|1|0|20|2019|6|EURO|1185,34|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#20#2019#7|1|0|20|2019|7|EURO|1261,40|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#20#2019#8|1|0|20|2019|8|EURO|7180,65|01011900000000
