CHIAVE|COD_DITTA|TIPO_CLIFOR|COD_CLIFOR|PROGRESSIVO|TIPO_NOTA|NOTA|DAT_ULT_MOD
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#22#1|1|0|22|1||Paga  fatt. luglio 3543 con ab al 31/8|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#34#1|1|0|34|1|SE CHIUSO SUONARE IL CAMPANELLO||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#175#1|1|0|175|1|CHIUSURA|LUNEDI' POMERIGGIO E MARTEDI' TUTTO IL GIORNO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#175#2|1|0|175|2|CONSEGNA|MERCOLEDI' E GIOVEDI' MATTINA|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#184#1|1|0|184|1|CONSEGNA DAL VENERDI' MATTINA||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#392#1|1|0|392|1|MULLER SONIA||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#447#1|1|0|447|1||Chiuso per ferie dal 1 al 15 luglio|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#617#1|1|0|617|1|Sig.ra Eleonora (cuoca)||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#621#1|1|0|621|1|ORARI CONSEGNA|DOPO LE 8.00|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#709#1|1|0|709|1|CONSEGNA DALLE 7/8.00 ALLE 12.30 E 16/19||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#739#1|1|0|739|1|Note||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#739#2|1|0|739|2||ciao|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#779#1|1|0|779|1|Consegne|non lascaiare mai la. erce fuori|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#787#1|1|0|787|1|CHIUSO AL MARTEDI'|RESPONSABILE TIZIANA|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#827#1|1|0|827|1|Sconti e appunti|ordine martedi pomeriggio ore 15§consegna giovedi§il resto passa Luciana|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#868#1|1|0|868|1|SCARICO DALLE 14.00 IN POI||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#886#1|1|0|886|1|Cuoco Sala Khedri||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#908#1|1|0|908|1||orari  scarico  dalle 09  alle  15   e dalle 17.30  in poi|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#1084#0|1|0|1084|0|Responsabile acquisti Gabriele Michela||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#1084#1|1|0|1084|1|Sig.ra Valentini Tina||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#1084#2|1|0|1084|2|Sig.Paolo Pili (cuoco)||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#1112#1|1|0|1112|1|vettore|DICHIARAZIONE DI TRASPORTO DI COSE IN CONTRO PROPRIO......|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#1154#1|1|0|1154|1|Responsabile Stefano||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#1171#1|1|0|1171|1||PEC: macelleriatonini@pec.it|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#1197#1|1|0|1197|1|Responsabile Sig.Leonardo||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#0#1197#2|1|0|1197|2|Chiuso il marted�||01011900000000
