CHIAVE|COD_DITTA|NUM_REG|PRG_RIGA|COD_RIGA|DES_RIGA|COD_UM|QTA|PRZ_LORDO|PRZ_NETTO|COD_VALUTA|IMPORTO|SC_1|SC_2|DATA_CONFERMA|TIPO_CLIFOR|COD_CLIFOR|COD_ART|DAT_ULT_MOD
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202000207577#1|1|202000207577|1|DESCRITTIVA|Rif. Ordine nr.40739 del 21/12/2020 Rif. Lista nr. 432110 del 21/12/2020||0,000|0,000000|0,000000000|EURO|0,00|0,000|0,000||0|838||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202000207577#2|1|202000207577|2|K2MB01|MACINATO BOVINO S/V GELO (cf 12 x kg.1,1 circa) ALA|KG|2,348|7,740000|7,738500851|EURO|18,17|0,000|0,000||0|838|K2MB01|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202000207577#3|1|202000207577|3|DESCRITTIVA|Rif. Ordine nr.40739 del 21/12/2020 Rif. Lista nr. 432109 del 21/12/2020||0,000|0,000000|0,000000000|EURO|0,00|0,000|0,000||0|838||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202000207577#4|1|202000207577|4|J4CDB5|COPERTINA S/V FR BOV IRL GOLD Slan/DM/Vari|KG|15,250|12,250000|12,249836065|EURO|186,81|0,000|0,000||0|838|J4CDB5|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202000207577#5|1|202000207577|5|F92SMF|SALSICCIA MANTOVANA nostrana CHIARA FRESCA S/GLUTINE 4I|KG|11,500|8,660000|8,660000000|EURO|99,59|0,000|0,000||0|838|F92SMF|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202000207577#6|1|202000207577|6|G4DA9105|GRANA PADANO PORZ.1/8 10/14 MESI S/V 4I (Z)|KG|10,000|13,510000|13,510000000|EURO|135,10|0,000|0,000||0|838|G4DA9105|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202000207577#7|1|202000207577|7|I1UOVAC|UOVA FR PASTA GIALLA "M" (CONF18X6)108 OVOSTELLA 4I|CF|15,000|1,090000|1,090000000|EURO|16,35|0,000|0,000||0|838|I1UOVAC|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202000207577#8|1|202000207577|8|DESCRITTIVA|Rif. Ordine nr.40763 del 21/12/2020 Rif. Lista nr. 432130 del 21/12/2020||0,000|0,000000|0,000000000|EURO|0,00|0,000|0,000||0|838||01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202000207577#9|1|202000207577|9|QFLP122|SALMONE norv AFF PREAFF. S/P kg.0,9-1,2 (5pz c xt) BERNARDINI|KG|1,070|28,900000|28,897196261|EURO|30,92|0,000|0,000||0|838|QFLP122|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202000207577#10|1|202000207577|10|RF2MDR|MANDARINO|KG|17,010|2,550000|2,550264550|EURO|43,38|0,000|0,000||0|838|RF2MDR|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202000207577#11|1|202000207577|11|RV1PAT|PATATE|KG|15,000|1,050000|1,050000000|EURO|15,75|0,000|0,000||0|838|RV1PAT|01011900000000
