CHIAVE|COD_DITTA|NUM_REG|COD_RATA|DAT_SCAD|IMPORTO|NETTO_PREV|DES_TIPO|DES_STATO|DES_TIPO_PRES|DES_OPERAZIONE|FLG_DA_LIB|FLG_SOSP|DES_BANCA_AGENZIA|TIPO_CLIFOR|COD_CLIFOR|DATA_DOC|NUM_DOC|COD_VALUTA|DAT_ULT_MOD
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#200400004130#0#1#1|1|200400004130|1/1|15032002|1531,28|1531,28|Ric. banc.|Aperto|In portafoglio|Creazione|0|0||1|5020|15012002|60|EURO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#200400004131#0#1#1|1|200400004131|1/1|31032002|726,09|726,09|RID|Aperto|Non soggetto|Creazione|0|0||1|5020|16012002|82|EURO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#200400004133#0#1#1|1|200400004133|1/1|31032002|1099,24|1099,24|RID|Aperto|Non soggetto|Creazione|0|0||1|5020|22012002|103|EURO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#200400004135#0#1#1|1|200400004135|1/1|31032002|617,17|617,17|RID|Aperto|Non soggetto|Creazione|0|0||1|5020|31012002|106|EURO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#200400004402#0#1#1|1|200400004402|1/3|02032004|0|0|Contanti|Aperto|Non soggetto|Creazione|0|0||0|129|31032004|678|EURO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#200400004403#0#1#1|1|200400004403|2/3|09032004|0|0|Contanti|Aperto|Non soggetto|Creazione|0|0||0|129|31032004|678|EURO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#200400004421#0#1#1|1|200400004421|1/3|05032004|0|0|Contanti|Aperto|Non soggetto|Creazione|0|0||0|241|31032004|709|EURO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#200400004422#0#1#1|1|200400004422|2/3|19032004|0|0|Contanti|Aperto|Non soggetto|Creazione|0|0||0|241|31032004|709|EURO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#200400004449#0#1#1|1|200400004449|1/4|02042002|0|0|Contanti|Aperto|Non soggetto|Creazione|0|0||0|346|30042002|1010|EURO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#200400004450#0#1#1|1|200400004450|2/4|12042002|0|0|Contanti|Aperto|Non soggetto|Creazione|0|0||0|346|30042002|1010|EURO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#200400004451#0#1#1|1|200400004451|3/4|26042002|0|0|Contanti|Aperto|Non soggetto|Creazione|0|0||0|346|30042002|1010|EURO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#200400004457#0#1#1|1|200400004457|1/3|02042002|0|0|Contanti|Aperto|Non soggetto|Creazione|0|0||0|414|30042002|1042|EURO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#200400004458#0#1#1|1|200400004458|2/3|12042002|0|0|Contanti|Aperto|Non soggetto|Creazione|0|0||0|414|30042002|1042|EURO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#200400004478#0#1#1|1|200400004478|1/5|02102003|0|0|Contanti|Aperto|Non soggetto|Creazione|0|0||0|525|31102003|3344|EURO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#200400004479#0#1#1|1|200400004479|2/5|09102003|0|0|Contanti|Aperto|Non soggetto|Creazione|0|0||0|525|31102003|3344|EURO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#200400004480#0#1#1|1|200400004480|3/5|14102003|0|0|Contanti|Aperto|Non soggetto|Creazione|0|0||0|525|31102003|3344|EURO|01011900000000
