CHIAVE|COD_DITTA|TIPO_CLIFOR|COD_CLIFOR|COD_TIPODOC|COD_STIPODOC|FLGDAEVADERE|DATA_DOC|NUMREG|TIPODOC|TIPO|SOTTOTIPO|DATAREG|SEZIONALE|NUMDOC|DOCORIG|DEPOSITO|COD_VALUTA|VALUTA|TOTALEDOC|DATACONS|SCADENZE|ESTCONT|TIPOSTATO_DOC|DESSTATO_DOC|DATA_FATT|NUM_FATT|NOTE_DOC|DATA_CONSEGNA|DAT_ULT_MOD|NUM_DOC|DES_NOTE|DES_DOC
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202000209878|1|0|5|1|1|1|30122020|202000209878|1CS-DDTSCONTR|DdT|Ven/Acq|30122020|SC|3526/SC|3526/SC|00|EURO|EURO|57,87|30122020|1|1|0||30122020|3526|||01011900000000|3526/SC||
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202000210560|1|0|5|3|1|1|31122020|202000210560|1CS-FATRIEPDDT|Fatt. Riep.|DdT|31122020|00|5295/00|5295/00|00|EURO|EURO|265,02|04122020|1|1|0||31122020|5295|||01011900000000|5295/00||
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202100000559|1|0|5|1|1|1|05012021|202100000559|1CS-DDT|DdT|Ven/Acq|05012021|00|45/00|45/00|00|EURO|EURO|326,95|05012021|0|0|0||05012021|45|||01011900000000|45/00||
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202100006748|1|0|5|1|1|1|29012021|202100006748|1CS-DDT|DdT|Ven/Acq|29012021|00|781/00|781/00|00|EURO|EURO|80,53|29012021|0|0|0||29012021|781|||01011900000000|781/00||
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202100006796|1|0|5|1|1|1|29012021|202100006796|1CS-DDT|DdT|Ven/Acq|29012021|00|798/00|798/00|00|EURO|EURO|45,95|29012021|0|0|0||29012021|798|||01011900000000|798/00||
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202100007297|1|0|5|3|1|1|31012021|202100007297|1CS-FATRIEPDDT|Fatt. Riep.|DdT|31012021|00|15/00|15/00|00|EURO|EURO|447,33|05012021|1|1|0||31012021|15|||01011900000000|15/00||
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202100014507|1|0|5|1|1|1|16022021|202100014507|1CS-DDT|DdT|Ven/Acq|16022021|00|1665/00|1665/00|00|EURO|EURO|75,10|16022021|0|0|0||16022021|1665|||01011900000000|1665/00||
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202100020356|1|0|5|3|1|1|28022021|202100020356|1CS-FATRIEPDDT|Fatt. Riep.|DdT|28022021|00|287/00|287/00|00|EURO|EURO|75,10|16022021|1|1|0||28022021|287|||01011900000000|287/00||
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202100021285|1|0|5|1|1|1|01032021|202100021285|1CS-DDTSCONTR|DdT|Ven/Acq|01032021|SC|357/SC|357/SC|00|EURO|EURO|21,74|03032021|1|1|0||01032021|357|||01011900000000|357/SC||
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202100021383|1|0|5|1|1|1|02032021|202100021383|1CS-DDT|DdT|Ven/Acq|02032021|00|2470/00|2470/00|00|EURO|EURO|55,46|02032021|0|0|0||02032021|2470|||01011900000000|2470/00||
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202100021972|1|0|5|1|1|1|03032021|202100021972|1CS-DDTSCONTR|DdT|Ven/Acq|03032021|SC|367/SC|367/SC|00|EURO|EURO|51,88||1|1|0||03032021|367|||01011900000000|367/SC||
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202100031403|1|0|5|1|1|1|01042021|202100031403|1CS-DDTSCONTR|DdT|Ven/Acq|01042021|SC|592/SC|592/SC|00|EURO|EURO|85,62|01042021|1|1|0||01042021|592|||01011900000000|592/SC||
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202100031446|1|0|5|3|1|1|31032021|202100031446|1CS-FATRIEPDDT|Fatt. Riep.|DdT|31032021|00|744/00|744/00|00|EURO|EURO|55,46|02032021|1|1|0||31032021|744|||01011900000000|744/00||
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202100039073|1|0|5|1|1|1|22042021|202100039073|1CS-DDT|DdT|Ven/Acq|22042021|00|4350/00|4350/00|00|EURO|EURO|131,12|23042021|0|0|0||22042021|4350|||01011900000000|4350/00||
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202100039409|1|0|5|1|1|1|23042021|202100039409|1CS-DDT|DdT|Ven/Acq|23042021|00|4459/00|4459/00|00|EURO|EURO|71,01|23042021|0|0|0||23042021|4459|||01011900000000|4459/00||
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#202100039983|1|0|5|1|1|1|26042021|202100039983|1CS-DDT|DdT|Ven/Acq|26042021|00|4498/00|4498/00|00|EURO|EURO|68,58|26042021|0|0|0||26042021|4498|||01011900000000|4498/00||
