CHIAVE|COD_DITTA|CODICE|DESCRIZIONE|DAT_ULT_MOD
F0E15D25-1039-481A-9397-75AA9D6E7F3F#00|1|00|CLIENTE IN RIFATTURAZIONE|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1|1|1|Alla consegna|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#10|1|10|****R.I.D. 60 GG F.M. d.f.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#11|1|11|*****Contanti da non usare|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#111|1|111|Nr. 01 TR 30ggDF|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#112|1|112|NR.01 TR 60ggDF|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#113|1|113|NR.01 TR 90ggDF|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#114|1|114|NR.01 TR 30ggFM|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#115|1|115|NR.01 TR 60ggFM|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#12|1|12|****R.B. 60/90/120 F.M.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#121|1|121|NR.02 TR 30/60DF|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#122|1|122|NR.02 TR 60/90DF|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#123|1|123|NR.02 TR 60/90FM|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#124|1|124|NR.02 TR 30/60FM|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#125|1|125|NR.02 TR 60ggFM  IVA 30 GG FM|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#126|1|126|NR.02 TR 30/60FM|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#129|1|129|NR.02 TR 60/90FM +IVA I^ EFF.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#13|1|13|*****RIC.BANC.90 GG D.F.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#131|1|131|NR.03 TR 30/60/90FM|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#132|1|132|NR.03 TR 60/90/120FM|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#133|1|133|NR.03 TR 60/90/120DF|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#134|1|134|NR.03 TR 60/90FM  IVA 30 GG FM|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#135|1|135|NR.03 TR 30/60/90DF|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#136|1|136|NR.03 TR 30/60/90FM|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#138|1|138|NR.03 TR 30/60/90DF +IVA I^EFF|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#14|1|14|Bonifico bancario PA 30 GG data fattura|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#141|1|141|NR.04 TR 30/60/90/120DF|01011900000000
