CHIAVE|COD_DITTA|NOME|VALORE|TIPO|CHIAVE_PADRE|CONTESTO|VISUAL_MASK|COD_EXT|ORDINAMENTO|TIPO_DATO|DAT_ULT_MOD
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R1ME4694|1|PROMOZIONE||1||prodotti|110|R1ME4694|1|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R1ME50080|1|PROMOZIONE||1||prodotti|110|R1ME50080|1|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3ABA1|1|PROMOZIONE||1||prodotti|110|3ABA1|1|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS0565|1|PROMOZIONE||1||prodotti|110|3AS0565|1|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS0569|1|PROMOZIONE||1||prodotti|110|3AS0569|1|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS131|1|PROMOZIONE||1||prodotti|110|3AS131|1|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS2001|1|PROMOZIONE||1||prodotti|110|3AS2001|1|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS2101|1|PROMOZIONE||1||prodotti|110|3AS2101|1|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS2161|1|PROMOZIONE||1||prodotti|110|3AS2161|1|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS2211|1|PROMOZIONE||1||prodotti|110|3AS2211|1|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS2321|1|PROMOZIONE||1||prodotti|110|3AS2321|1|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS235|1|PROMOZIONE||1||prodotti|110|3AS235|1|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS236|1|PROMOZIONE||1||prodotti|110|3AS236|1|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS237|1|PROMOZIONE||1||prodotti|110|3AS237|1|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS238|1|PROMOZIONE||1||prodotti|110|3AS238|1|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS239|1|PROMOZIONE||1||prodotti|110|3AS239|1|0|01011900000000
