CHIAVE|COD_DITTA|COD_ARTICOLO|COD_DEPOSITO|DESC_DEPOSITO|GIACENZA|DISPONIBILITA|UM1|DAT_ULT_MOD
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R1ME4694#00|1|R1ME4694|00|SEDE|11,000|11,000|CF|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R1ME50080#00|1|R1ME50080|00|SEDE|14,000|12,000|CT|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_FI61F#00|1|R_FI61F|00|SEDE|0,000|0,000|KG.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_FI62F#00|1|R_FI62F|00|SEDE|0,000|0,000|KG.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_FI62T#00|1|R_FI62T|00|SEDE|0,000|0,000|SAC|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_FI63F#00|1|R_FI63F|00|SEDE|0,000|0,000|KG.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_FI70F#00|1|R_FI70F|00|SEDE|0,000|0,000|KG.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_FI72F#00|1|R_FI72F|00|SEDE|0,000|0,000|KG.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_FI73F#00|1|R_FI73F|00|SEDE|0,000|0,000|KG.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_FIA77#00|1|R_FIA77|00|SEDE|0,000|0,000|BAR|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_FIA87#00|1|R_FIA87|00|SEDE|0,000|0,000|VAS|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_FIA88#00|1|R_FIA88|00|SEDE|0,000|0,000|BID|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_FIB01#00|1|R_FIB01|00|SEDE|0,000|0,000|KG.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_FIB02#00|1|R_FIB02|00|SEDE|0,000|0,000|KG.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_FIB99#00|1|R_FIB99|00|SEDE|0,000|0,000|NR.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_WT04F#00|1|R_WT04F|00|SEDE|0,000|0,000|KG.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_WT05F#00|1|R_WT05F|00|SEDE|0,000|0,000|KG.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_WT08F#00|1|R_WT08F|00|SEDE|0,000|0,000|KG.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_WT09F#00|1|R_WT09F|00|SEDE|0,000|0,000|KG.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_WT23F#00|1|R_WT23F|00|SEDE|0,000|0,000|KG.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_MK30F#00|1|R_MK30F|00|SEDE|0,000|0,000|KG.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_MK31F#00|1|R_MK31F|00|SEDE|0,000|0,000|KG.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_MK95F#00|1|R_MK95F|00|SEDE|0,000|0,000|KG.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_OR15F#00|1|R_OR15F|00|SEDE|0,000|0,000|KG.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_OR18F#00|1|R_OR18F|00|SEDE|0,000|0,000|KG.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_OR21F#00|1|R_OR21F|00|SEDE|0,000|0,000|KG.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_OR27F#00|1|R_OR27F|00|SEDE|0,000|0,000|KG.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_FI06F#00|1|R_FI06F|00|SEDE|0,000|0,000|KG.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_FI12F#00|1|R_FI12F|00|SEDE|0,000|0,000|KG.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_FI13F#00|1|R_FI13F|00|SEDE|0,000|0,000|KG.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_FI16F#00|1|R_FI16F|00|SEDE|0,000|0,000|KG.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#R_FI19F#00|1|R_FI19F|00|SEDE|0,000|0,000|KG.|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3ABA1#00|1|3ABA1|00|SEDE|0,000|0,000|CT|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS0565#00|1|3AS0565|00|SEDE|0,000|0,000|CF|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS0569#00|1|3AS0569|00|SEDE|0,000|0,000|CF|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#3AS131#00|1|3AS131|00|SEDE|0,000|0,000|CF|01011900000000
