CHIAVE|COD_DITTA|TIPO_LISTINO|COD_ART|TIPO_CLIFOR|COD_CLIFOR|COD_DEPOSITO|COD_MACROAREA|COD_AREA|COD_ZONA|COD_MACROCATEGORIA|COD_CATEGORIA|COD_SOTTOCATEGORIA|COD_FAM_INIZIO|COD_FAM_FINE|COD_SFAM_INIZIO|COD_SFAM_FINE|COD_GRUPPO_INIZIO|COD_GRUPPO_FINE|COD_SGRUPPO_INIZIO|COD_SGRUPPO_FINE|COD_LISTINO|COD_CAMPAGNA|COD_DESTINAZIONE|COD_CLASSE|QUANTITA_INIZIO|QUANTITA_FINE|DATA_INIZIO|DATA_FINE|PREZZO|PRIORITA|SCONTO1|SCONTO2|SCONTO3|SCONTO4|SCONTO5|SCONTO6|SCONTO_IMP|MAG_PERC1|MAG_PERC2|MAG_IMP|IND_GES_PREZZO|IND_GES_SC1_PER|IND_GES_SC2_PER|IND_GES_SC3_PER|IND_GES_SC4_PER|IND_GES_SC5_PER|IND_GES_SC6_PER|IND_GES_SC_IMP|IND_GES_MAG1_PER|IND_GES_MAG2_PER|IND_GES_MAG_IMP|FLG_ESCLUDI_SCONTI|COD_COMBINAZIONE|COD_VALUTA|DAT_ULT_MOD
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#2|1|1|S94BC01770|0|||||||||||||||||90||||0,00000000|99999999999,00000000|05082005|31122999|7,61000000|10|0,000000|0,000000|0,000000|0,000000|0,000000|0,000000|0,00000000|0,000000|0,000000|0,00000000|1|1|1|10|1|1|1|2|2|2|2|S||EURO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#7|1|1|S94S15059|0|||||||||||||||||90||||0,00000000|99999999999,00000000|05082005|31122999|10,70000000|10|0,000000|0,000000|0,000000|0,000000|0,000000|0,000000|0,00000000|0,000000|0,000000|0,00000000|1|1|1|10|1|1|1|2|2|2|2|S||EURO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#562|1|1|F510070|0|||||||||||||||||184||||0,00000000|99999999999,00000000|04112016|31122999|11,30900000|10|0,000000|0,000000|0,000000|0,000000|0,000000|0,000000|0,00000000|0,000000|0,000000|0,00000000|1|1|1|10|1|1|1|2|2|2|2|S||EURO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#643|1|1|F94DD0550|0|||||||||||||||||184||||0,00000000|99999999999,00000000|04112016|31122999|16,41200000|10|0,000000|0,000000|0,000000|0,000000|0,000000|0,000000|0,00000000|0,000000|0,000000|0,00000000|1|1|1|10|1|1|1|2|2|2|2|S||EURO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#876|1|1|H2O5000P|0|||||||||||||||||184||||0,00000000|99999999999,00000000|04112016|31122999|9,60800000|10|0,000000|0,000000|0,000000|0,000000|0,000000|0,000000|0,00000000|0,000000|0,000000|0,00000000|1|1|1|10|1|1|1|2|2|2|2|S||EURO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#1013|1|1|H6W106036|0|||||||||||||||||184||||0,00000000|99999999999,00000000|04112016|31122999|4,62000000|10|0,000000|0,000000|0,000000|0,000000|0,000000|0,000000|0,00000000|0,000000|0,000000|0,00000000|1|1|1|10|1|1|1|2|2|2|2|S||EURO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#1111|1|1|H7D3720|0|||||||||||||||||184||||0,00000000|99999999999,00000000|04112016|31122999|33,77900000|10|0,000000|0,000000|0,000000|0,000000|0,000000|0,000000|0,00000000|0,000000|0,000000|0,00000000|1|1|1|10|1|1|1|2|2|2|2|S||EURO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#1112|1|1|H7D3723|0|||||||||||||||||184||||0,00000000|99999999999,00000000|04112016|31122999|17,51400000|10|0,000000|0,000000|0,000000|0,000000|0,000000|0,000000|0,00000000|0,000000|0,000000|0,00000000|1|1|1|10|1|1|1|2|2|2|2|S||EURO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#1556|1|1|J5LP7|0|||||||||||||||||184||||0,00000000|99999999999,00000000|04112016|31122999|17,64000000|10|0,000000|0,000000|0,000000|0,000000|0,000000|0,000000|0,00000000|0,000000|0,000000|0,00000000|1|1|1|10|1|1|1|2|2|2|2|S||EURO|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#1#1638|1|1|K2HBA200|0|||||||||||||||||184||||0,00000000|99999999999,00000000|04112016|31122999|105,44100000|10|0,000000|0,000000|0,000000|0,000000|0,000000|0,000000|0,00000000|0,000000|0,000000|0,00000000|1|1|1|10|1|1|1|2|2|2|2|S||EURO|01011900000000
