CHIAVE|COD_DITTA|COD_CLIFOR|COD_ART|DESC_ARTICOLO|NUM_RIGHE|ULT_NUM_REG|ULT_PROG_RIGA|ULT_QTA|ULT_PRZ|ULT_UM|ULT_QTA2|ULT_PRZ2|ULT_UM2|COD_DEST|ULT_SC_PER1|ULT_SC_PER2|ULT_SC_PER3|ULT_SC_PER4|ULT_SC_PER5|ULT_SC_PER6|ULT_SC_IMPORTO|ULT_MAG_PER1|ULT_MAG_PER2|ULT_MAG_IMPORTO|ULT_DATA|DAT_ULT_MOD
F0E15D25-1039-481A-9397-75AA9D6E7F3F#10#C6BAPI01#202100034248#20210408|1|10|C6BAPI01|BASE PIZZA PALA ATM 38x19 gr250 (2 basi x cf) 9CFxCT  LVT|1|202100034248|2|3,000|4,100000|CF|3,000|4,100000|CF||0,000|0,000|0,000|0,000|0,000|0,000|0,000000|0,000|0,000|0,000000|08042021|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#10#F8G1#202100039074#20210422|1|10|F8G1|SPECK DOPPIA FESA "SOAVIUS" INTERO FOMA|1|202100039074|2|6,640|11,352410|KG|1,000|11,352000|PZ||0,000|0,000|14,000|0,000|0,000|0,000|0,000000|0,000|0,000|0,000000|22042021|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#10004#C3PRUS#202100046276#20210505|1|10004|C3PRUS|PANE RUSTICO GR.400x8 CF indivisibile GP"ATM"  [s.o.]|1|202100046276|2|1,000|10,810000|CT|1,000|10,813500|CT||0,000|0,000|19,000|0,000|0,000|0,000|0,000000|0,000|0,000|0,000000|05052021|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#10004#C6501#202100046276#20210505|1|10004|C6501|PIADINA FR GR.330(10 cf x 3 piad) Sfogl Extrasottile GP|1|202100046276|4|20,000|1,071500|CF|20,000|1,071600|CF||0,000|0,000|24,000|0,000|0,000|0,000|0,000000|0,000|0,000|0,000000|05052021|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#10004#H31GA18433#202100046276#20210505|1|10004|H31GA18433|SALSA ROSA COCKTAIL VASO gr.960x6 BIG CHEF|1|202100046276|6|1,000|4,060000|PZ|1,000|4,059200|PZ||0,000|0,000|14,000|0,000|0,000|0,000|0,000000|0,000|0,000|0,000000|05052021|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#10004#H3BC00005#202100046276#20210505|1|10004|H3BC00005|MAIONESE CLASSICA VASO GR.960x6 BIG CHEF|1|202100046276|5|1,000|3,720000|PZ|1,000|3,720000|PZ||0,000|0,000|0,000|0,000|0,000|0,000|0,000000|0,000|0,000|0,000000|05052021|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#10004#H3W02821#202100046276#20210505|1|10004|H3W02821|SALSA BOSCAIOLA VASO plastica riciclabile GR.700x6 DEVELEY|1|202100046276|8|1,000|5,680000|PZ|1,000|5,677200|PZ||0,000|0,000|24,000|0,000|0,000|0,000|0,000000|0,000|0,000|0,000000|05052021|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#10004#O2FCAN#202100034374#20210409|1|10004|O2FCAN|FILETTO CANGURO GELO S/V (12 pz da gr.900 ca) AUSTRALIA [s.o.]|1|202100034374|4|1,644|21,052311|KG|2,000|21,050000|PZ||0,000|0,000|0,000|0,000|0,000|0,000|0,000000|0,000|0,000|0,000000|09042021|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#10008#D1GG17#202100048096#20210506|1|10008|D1GG17|TORTELLONI DI RICOTTA E SPINACI gelo KG.1x2pz GAET [s.o.]|2|202100048096|2|4,000|9,000000|K.|4,000|8,999902|K.||0,000|0,000|48,660|0,000|0,000|0,000|0,000000|0,000|0,000|0,000000|06052021|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#10008#E92G09#202100027081#20210318|1|10008|E92G09|TORTELLONI AL FORMAGGIO DI TREMOSINE  kg.1x2pz GAET [s.o.]|1|202100027081|1|4,000|14,300000|K.|0,000|0,000000|K.||0,000|0,000|0,000|0,000|0,000|0,000|0,000000|0,000|0,000|0,000000|18032021|01011900000000
