CHIAVE|COD_DITTA|COD_VALUTA|DES_VALUTA|SIMBOLO|FLG_PREF|DAT_ULT_MOD
F0E15D25-1039-481A-9397-75AA9D6E7F3F#01|1|01|Dollaro USA|$|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#02|1|02|Lira Sterlina|�|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#03|1|03|Marco Tedesco|DM|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#LIRE|1|LIRE|LIRE ITALIANE|LIT.|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#FRB|1|FRB|Franco belga|FRB|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#DM|1|DM|Marco tedesco|DEM|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#PES|1|PES|Peseta spagnola|ESP|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#FFR|1|FFR|Franco francese|FRF|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#STIR|1|STIR|Sterlina irlandese|IEP|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#FRL|1|FRL|Franco lussemburghese|FRL|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#FOL|1|FOL|Fiorino olandese|NLG|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#SCAU|1|SCAU|Scellino austriaco|ATS|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#SCPO|1|SCPO|Scudo portoghese|PTE|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#MAFI|1|MAFI|Marco finlandese|FIM|0|01011900000000
F0E15D25-1039-481A-9397-75AA9D6E7F3F#USD|1|USD|Dollaro USA|USD|0|01011900000000
